CommonName,Site Name,Lat,Lon,Drainage Area_sqmi,Mean Annual Precip_in,Mean Basin Slope,Mean Elev_ft,Max Elev_ft,Min Elev_ft,Relief_ft,Perc Urban,Perc Imp,Longest Path_mi,2yr_cfs,5yr_cfs,10yr_cfs,25yr_cfs,50_yr_cfs,100_yr_cfs
Del_Dios,Del Dios Creek,33.07713,-117.11546,1,15.8,15.8,656,1037,319,719,69.2,17.5,2,28.8,82.5,126,180,222,264
Moonsong,Moonsong,33.04464,-117.0884,2.3,14.7,16.8,642,1190,355,835,49.7,22,2,47.7,143,223,327,410,495
Felicita,Felicita Creek,33.06341,-117.08157,2.8,15.5,11.9,666,1115,331,784,81,21.4,4,56.6,174,276,413,525,641
Kit_Carson,Kit Carson,33.06683,-117.06625,6.8,15.1,10.7,644,1276,327,949,78,22.3,5,101,327,537,835,1090,1360
Green_Valley,Green Valley,33.04308,-117.07448,9.1,14.7,10.4,660,1339,339,1000,91.4,31.7,7,120,396,656,1030,1350,1680
Sycamore,Sycamore Creek,33.05107,-117.04406,13,16.9,26.7,1238,2881,324,2557,19.9,3.2,9,170,582,1010,1660,2250,2890
Cloverdale,Cloverdale,33.09088,-117.01973,14.8,17.1,22.6,1218,2257,342,1915,16.2,2.7,9,187,647,1130,1880,2560,3300
Guejito,Guejito Creek,33.09489,-116.96122,27.7,19.9,19.9,2006,4190,422,3768,1.5,0,14,319,1170,2170,3870,5490,7350
San_Dieguito,San Dieguito Creek,33.06088,-117.03681,249.2,20.9,21.3,2204,5655,325,5330,8.4,1,38,1450,6210,12800,25700,39400,56300
Santa Maria Creek Downstream,Santa Maria Creek (SDG27),33.05081,-116.94592,56.5,18.7,11.9,1845,3271,1319,1952,17.3,2.7,18,,,,,,
Santa Maria Creek Upstream,Santa Maria Creek Upstream (SDG25),33.05774,-116.85586,28.4,20,16,2191,3271,1462,1809,9.1,0.8,11,,,,,,
Santa Ysabel Creek,Santa Ysabel Creek (SD26),33.08615,-116.91668,128,23.5,25.5,2740,5655,518,5137,3.6,0.1,29,,,,,,
